Nombre Video,Duracion (min),Genero,Fecha,Evento de la semana
Messi le grabo un video,2,Futbol,7/12/2021,Argentina ganò la Copa America
Asi llego Messi a Argentina,4,Futbol,7/12/2021,Argentina ganò la Copa America
Figuretti en Rio de janeiro,4,VideoMatch,7/12/2021,Argentina ganò la Copa America
Messi llorando,2,Futbol,7/11/2021,Argentina ganò la Copa America
Messi hablando con el padre,2,Futbol,7/11/2021,Argentina ganò la Copa America
Asi relato Ibai,6,Youtuber-Español,7/11/2021,Argentina ganò la Copa America
Relato Emocionante,8,Futbol,7/11/2021,Argentina ganò la Copa America
Vignolo Messi,1,Futbol,7/11/2021,Argentina ganò la Copa America
Argentina 1-0 Brasil,3,Futbol,7/10/2021,Argentina ganò la Copa America
Rinaldo Rafanneli - Gaddy,4,Musica Rock,7/10/2021,Argentina ganò la Copa America
Lucille,4,How to play Guitar,7/10/2021,Argentina ganò la Copa America
Imitador Mariano Closs,1,Youtuber-Español,7/8/2021,Argentina va a jugar la final
Extract Youtube Videos,13,Sistemas,7/8/2021,Argentina va a jugar la final
Api Google Youtube,16,Sistemas,7/8/2021,Argentina va a jugar la final
Beretta Dt11 EELL,5,Tiro,7/7/2021,Argentina va a jugar la final
Figuretti en Amsterdam,5,VideoMatch,7/7/2021,Argentina va a jugar la final
Atleta Español JJOO,1,Deportes,7/7/2021,Argentina va a jugar la final
Diego Maradona Tomo alcohol,1,Futbol,7/7/2021,Argentina va a jugar la final
Ringo Starr Habla de los beatles,3,,7/7/2021,Argentina va a jugar la final
Hp neverstop,8,Tecnologia,7/6/2021,Semana Post Entrevista
Hp neverstop Review,3,Tecnologia,7/6/2021,Semana Post Entrevista
Essere o Avere,2,Italiano,7/6/2021,Semana Post Entrevista
Aussiliare Essere,11,Italiano,7/6/2021,Semana Post Entrevista
¿Que tiene de llamativa esta camisa? - Los Simulad,1,Simuladores,7/5/2021,Semana Post Entrevista
I got rejected by Google,20,Google Interviews,7/5/2021,Semana Post Entrevista
Mark Zuckerberg's 2004 Interview: See How Far He A,4,Tecnologia,7/5/2021,Semana Post Entrevista
Steve Jobs Makes Fun of DOS in 1992,1,Tecnologia,7/5/2021,Semana Post Entrevista
"El API de Datos de YouTube, Como crear y curar con",17,Youtuber,7/5/2021,Semana Post Entrevista
Things I Know About Tableau Layout Containers,30,Tableau,7/5/2021,Semana Post Entrevista
PROBANDO GITHUB COPILOT: La IA que ¿Te ayuda? a Pr,1,Programacion,7/4/2021,Entrevista con Google
"Badia & Cia. desde Obras, 1988 - Charly García, sh",25,Musica Rock,7/4/2021,Entrevista con Google
Fuzzy Matching -- Data Quality in Talend By Vamsi,10,Programacion,7/4/2021,Entrevista con Google
Canned Heat Blues Band,50,Musica Blues,7/4/2021,Entrevista con Google
HOWLIN' WOLF - Live in Chicago (1969) - Full Album,60,Musica Blues,7/4/2021,Entrevista con Google
Muddy Waters - Live In Chicago 1979,60,Musica Blues,7/3/2021,Entrevista con Google
Invisible - El Jardín de los Presentes (1976) (Ful,40,Musica Rock,7/3/2021,Entrevista con Google
Jimi Hendrix greatest hits (full album) - Best son,60,Musica Rock,7/3/2021,Entrevista con Google
Edelmiro Molinari - Expreso de Agua Santa [Álbum C,52,Musica Rock,7/3/2021,Entrevista con Google
Luis Alberto Spinetta fascinado frente a una prueb,1,Musica Rock,7/3/2021,Entrevista con Google
El Monstruo de la laguna - Homenaje a Spinetta en ,6,Musica Rock,7/3/2021,Entrevista con Google
ALEMANIA MUNDIAL 2006-ENTREVISTAS DE ENVIADOS DEL ,5,Futbol,7/2/2021,Entrevista con Google
"Blooper, Menem lo nombra a Figuretti - Videomatch ",1,Futbol,7/2/2021,Entrevista con Google
Diego Capusotto en Mañanas Informales,32,Futbol,7/2/2021,Entrevista con Google
Cruce de Messi y ter Stegen con un periodista de M,2,Futbol,7/1/2021,Entrevista con Google
Spinetta jade - Nunca me oiste en tiempo,5,Musica Rock,7/1/2021,Entrevista con Google
24 Most Asked Questions in Interviews at Google,26,Interview advices,6/30/2021,Preparacion Google
Upcoming Amazon Telephone Screen? Learn how to ans,11,Interview advices,6/30/2021,Preparacion Google
Googleyness Question - Tell Me About a Time You We,11,Interview advices,6/30/2021,Preparacion Google
Googliness Question - Tell Me About a Time You Wer,35,Interview advices,6/30/2021,Preparacion Google
Googleyness & Leadership Question - What Do You Do,26,Interview advices,6/30/2021,Preparacion Google
Google Behavioral Interview With A Tech YouTuber,6,Interview advices,6/29/2021,Preparacion Google
24 Most Asked Questions in Interviews at Google,6,Interview advices,6/29/2021,Preparacion Google
Upcoming Amazon Telephone Screen? Learn how to ans,13,Interview advices,6/29/2021,Preparacion Google
10 Questions Google likes asking in job interviews,13,Interview advices,6/29/2021,Preparacion Google
"Answering ""Why Google"" https://www.youtube.com/wat",13,Interview advices,6/29/2021,Preparacion Google
Google Coding Interview Question and Answer #1: Fi,8,Interview advices,6/29/2021,Preparacion Google
Googleyness Question - Tell Me About a Time You We,15,Interview advices,6/29/2021,Preparacion Google
Google's Random GCA Questions,15,Interview advices,6/29/2021,Preparacion Google
Google's Leadership Interview,15,Interview advices,6/29/2021,Preparacion Google
5 ALGORITMOS que DEBERÍAS (al menos) conocer,8,Tecnologia,6/28/2021,Preparacion Google
Interviewing for Googleyness at Google,15,Interview advices,6/28/2021,Preparacion Google
My Computer Science Masters Degree in 9 Minutes,15,Academico,6/28/2021,Preparacion Google
I got rejected by Google,10,Interview advices,6/28/2021,Preparacion Google
Keep On Coding,10,Programacion,6/28/2021,Preparacion Google
Scioli defiende la privatización de YPF y elogia a,3,Politica,6/28/2021,Preparacion Google
Novaresio mano a mano con Scioli - Dicho Esto (23/,3,Politica,6/27/2021,Preparacion Google
